time,open,high,low,close,Range Filter,High Target,Low Target,upward,BBWP,Extreme Hi,Extreme Lo,MA 1,MA 2
1341100800,6.68998,9.7,6.4,9.35,NaN,NaN,NaN,0,36.36363636363637,NaN,NaN,39.41552482556374,NaN
1343779200,9.35,15.4,7.58,10.16,NaN,NaN,NaN,0,35.294117647058826,NaN,NaN,38.198486286009995,NaN
1346457600,10.15,12.68666,9.71922,12.4,NaN,NaN,NaN,0,37.142857142857146,NaN,NaN,37.627057714581426,NaN
1349049600,12.35,13.0899,9.74,11.201,NaN,NaN,NaN,0,41.66666666666667,NaN,NaN,38.21845556404379,NaN
1351728000,11.17963,12.6515,10.33,12.565,NaN,NaN,NaN,0,35.13513513513514,NaN,NaN,37.12048259107082,NaN
1354320000,12.565,13.90119,12.42,13.51001,NaN,NaN,NaN,0,34.21052631578947,NaN,NaN,36.689860581501435,NaN
1356998400,13.51001,21.43,13.16123,20.41001,NaN,NaN,NaN,0,46.15384615384615,NaN,NaN,38.8618062828589,NaN
1359676800,20.50879,34.51541,18,33.38,NaN,NaN,NaN,0,57.49999999999999,NaN,NaN,42.93323485428747,NaN
1362096000,33.37999,95.7,32.92,93.03001,NaN,NaN,NaN,0,75.60975609756098,NaN,NaN,49.72185274046633,NaN
1364774400,93.25,266,50.01,139.2269,NaN,NaN,NaN,0,80.95238095238095,NaN,NaN,58.88530190391549,NaN
1367366400,139.00004,140.06,79,128.81505,NaN,NaN,NaN,0,72.09302325581395,NaN,NaN,66.46180129192038,NaN
1370044800,128.82506,130.1,88,97.51,NaN,NaN,NaN,0,63.63636363636363,NaN,NaN,69.95830478842387,NaN
1372636800,97.50888,111.65202,65.42448,106.21188,NaN,NaN,NaN,0,60,NaN,NaN,70.45830478842387,NaN
1375315200,106.22691,148.7,100.95969,141,NaN,NaN,NaN,0,56.52173913043478,NaN,NaN,66.64070139499863,NaN
1377993600,141,148.90893,121.25,141.8965,NaN,NaN,NaN,0,53.191489361702125,NaN,NaN,61.08852307686287,NaN
1380585600,143.28122,233.4,109.7,211.1714,NaN,NaN,NaN,0,50,NaN,NaN,56.66991842570009,NaN
1383264000,211.20177,1242,209.76,1205.8,NaN,NaN,NaN,0,93.87755102040816,NaN,NaN,62.71815590250899,NaN
1385856000,1206.00001,1240,455,739.28,NaN,NaN,NaN,0,86,NaN,NaN,67.91815590250899,NaN
1388534400,737.67,995,726.5,805.22,NaN,NaN,NaN,0,68.62745098039215,NaN,NaN,70.33929827250047,NaN
1391212800,804.8,829,400,549.995,NaN,NaN,NaN,0,61.53846153846154,NaN,NaN,72.00869270785236,NaN
1393632000,549.01,719.25,436.1,456.9899,NaN,NaN,NaN,0,56.60377358490566,NaN,NaN,73.32944742483349,NaN
1396310400,456.3,547,340,449.0201,NaN,NaN,NaN,0,53.70370370370371,NaN,NaN,65.2946779614926,NaN
1398902400,449.0201,630,419.4,626.21,NaN,NaN,NaN,0,49.09090909090909,NaN,NaN,57.912859779674406,NaN
1401580800,627.01,685,522.15,640.79,NaN,NaN,NaN,0,42.857142857142854,NaN,NaN,52.75879815502456,NaN
1404172800,642.26,665,561.47,580,NaN,NaN,NaN,0,38.59649122807017,NaN,NaN,48.17040409294628,NaN
1406851200,579.49,605.72,443,477.81,NaN,NaN,NaN,0,32.758620689655174,NaN,NaN,43.40137351389619,NaN
1409529600,477.84,497.24,365,387,NaN,NaN,NaN,0,30.508474576271187,NaN,NaN,38.76232768840968,NaN
1412121600,386.93,414.42,275,336.82,NaN,NaN,NaN,0,23.333333333333332,NaN,NaN,33.61081253689453,NaN
1414800000,336.72,475,315.54,379.89,NaN,NaN,NaN,0,21.311475409836063,NaN,NaN,29.30167904743317,NaN
1417392000,379.67,387.99,302.32,322.3,NaN,NaN,NaN,0,19.35483870967742,NaN,NaN,25.45334854375462,NaN
1420070400,322.31,322.9,166.45,215.8,NaN,NaN,NaN,0,20.634920634920633,NaN,NaN,23.02860853280771,NaN
1422748800,215.91,268.54,210.12,255.7,NaN,NaN,NaN,0,20.3125,NaN,NaN,20.989413617553474,NaN
1425168000,255.7,303.96,235.7,244.51,NaN,NaN,NaN,0,23.076923076923077,NaN,NaN,20.938131566271423,NaN
1427846400,244.56,262.45,213.92,236.11,NaN,NaN,NaN,0,25.757575757575758,NaN,NaN,21.82735163581936,NaN
